"id";"usuario_id";"prefijo";"pais";"flag";"descripcion";"llamadas";"segundos";"llamadas_cuenta";"segundos_cuenta";"llamadas_actual";"segundos_actual";"t1";"t2";"t3";"t4";"estado";"accion"
"4822";"3";"258";"MZ";"flag-mz";"Actualizado 28/05/2020";"1";"60";"1";"60";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4821";"3";"257";"BI";"flag-bi";"Actualizado 28/05/2020";"1";"60";"1";"60";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4820";"3";"256";"UG";"flag-ug";"Actualizado 28/05/2020";"1";"60";"1";"60";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4819";"3";"255";"TZ";"flag-tz";"Actualizado 28/05/2020";"1";"60";"1";"60";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4818";"3";"254";"KE";"flag-ke";"Actualizado 28/05/2020";"1";"60";"1";"60";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4817";"3";"253";"DJ";"flag-dj";"Actualizado 28/05/2020";"1";"60";"1";"60";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4816";"3";"252";"SO";"flag-so";"Actualizado 28/05/2020";"1";"60";"1";"60";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4815";"3";"251";"ET";"flag-et";"Actualizado 28/05/2020";"1";"60";"1";"60";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4814";"3";"250";"RW";"flag-rw";"Actualizado 28/05/2020";"1";"60";"1";"60";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4813";"3";"249";"SD";"flag-sd
";"Actualizado 28/05/2020";"1";"60";"1";"60";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4812";"3";"248";"SC";"flag-sc";"Actualizado 28/05/2020";"1";"60";"1";"60";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4811";"3";"247";"AF";"flag-af";"Actualizado 28/05/2020";"1";"60";"1";"60";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4810";"3";"246";"IO";"flag-io";"Actualizado 28/05/2020";"1";"60";"1";"60";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4809";"3";"245";"GW";"flag-gw";"Actualizado 28/05/2020";"1";"60";"1";"60";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4808";"3";"244";"AO";"flag-ao";"Actualizado 28/05/2020";"1";"60";"1";"60";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4807";"3";"243";"CD";"flag-cd";"Actualizado 28/05/2020";"1";"60";"1";"60";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4806";"3";"242";"CG";"flag-cg
";"Actualizado 28/05/2020";"1";"60";"1";"60";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4805";"3";"241";"GA";"flag-ga";"Actualizado 28/05/2020";"1";"60";"1";"60";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4804";"3";"240";"GQ";"flag-gq";"Actualizado 28/05/2020";"1";"60";"1";"60";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4803";"3";"239";"ST";"flag-st";"Actualizado 28/05/2020";"1";"60";"1";"60";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4802";"3";"238";"CV";"flag-cv";"Actualizado 28/05/2020";"1";"60";"1";"60";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4801";"3";"237";"CM";"flag-cm";"Actualizado 28/05/2020";"1";"60";"1";"60";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4800";"3";"236";"CF";"flag-cf";"Actualizado 28/05/2020";"1";"60";"1";"60";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4799";"3";"235";"TD";"flag-td";"Actualizado 28/05/2020";"1";"60";"1";"60";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4798";"3";"234";"NG";"flag-ng";"Actualizado 28/05/2020";"1";"60";"1";"60";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4797";"3";"233";"GH";"flag-gh";"Actualizado 28/05/2020";"1";"60";"1";"60";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4796";"3";"232";"SL";"flag-sl";"Actualizado 28/05/2020";"1";"60";"1";"60";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4795";"3";"231";"LR";"flag-lr";"Actualizado 28/05/2020";"1";"60";"1";"60";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4794";"3";"230";"MU";"flag-mu";"Actualizado 28/05/2020";"1";"60";"1";"60";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4793";"3";"229";"BJ";"flag-bj";"Actualizado 28/05/2020";"1";"60";"1";"60";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
